Lon (deg),Lat (deg),Alt (m),Timestamp (ms UTC Unix),Time,Position Source,SEE_label
-141.5015426,64.18552617,601111.45,1525462024600,2018-05-04 19:27:04,onboard,0
-140.8565665,63.39217219,588209.6334,1525462011133,2018-05-04 19:26:51,onboard,0
-71.44032309,-7.312595368,586306.7105,1525449263110,2018-05-04 15:54:23,onboard,0
-67.45888357,-25.9604434,592231.0049,1525448962013,2018-05-04 15:49:22,onboard,0
-64.78303864,-36.62035211,597645.9706,1525448788951,2018-05-04 15:46:28,onboard,0
-46.33987193,-11.90636682,588982.7602,1525443390091,2018-05-04 14:16:30,onboard,0
-45.99241136,-13.58841374,588578.4581,1525443362956,2018-05-04 14:16:02,onboard,0
124.1228648,-62.77902352,619422.3589,1525441707326,2018-05-04 13:48:27,onboard,0
-131.7204743,80.80834517,607464.6827,1525433514559,2018-05-04 11:31:54,onboard,0
-79.58458524,58.08174493,609775.9214,1525410736636,2018-05-04 5:12:16,onboard,0
-53.45226863,-28.07078706,611385.4522,1525400541521,2018-05-04 2:22:21,onboard,0
-50.69480007,-15.7036509,606906.4221,1525400340514,2018-05-04 2:19:00,onboard,0
-49.94302867,-12.09760787,606117.9817,1525400282023,2018-05-04 2:18:02,onboard,0
94.9554834,81.61671046,607003.5841,1525381297372,2018-05-03 21:01:37,onboard,0
88.99657625,-37.89427676,613588.5383,1525365907811,2018-05-03 16:45:07,onboard,0
-67.57168451,-14.18529949,588259.195,1525362167197,2018-05-03 15:42:47,onboard,0
-66.07606169,-21.18038208,591458.4589,1525362054235,2018-05-03 15:40:54,onboard,0
-63.36189432,-32.69259546,595779.1446,1525361867711,2018-05-03 15:37:47,onboard,0
-45.87537293,-2.030509477,585929.3426,1525356564125,2018-05-03 14:09:24,onboard,0
-45.66807107,-3.066759272,585450.6484,1525356547438,2018-05-03 14:09:07,onboard,0
159.4685444,-44.54215168,603672.916,1525348619797,2018-05-03 11:56:59,onboard,0
-50.82572983,-27.378712,611150.6896,1525313544895,2018-05-03 2:12:24,onboard,0
-62.70950934,-25.20943988,592527.7911,1525275003949,2018-05-02 15:30:03,onboard,0
-39.95981093,-18.83718235,591611.5256,1525269308012,2018-05-02 13:55:08,onboard,0
-48.57531054,-28.26863504,611034.4011,1525226574004,2018-05-02 2:02:54,onboard,0
-47.95995539,-25.6522411,610594.9897,1525226531393,2018-05-02 2:02:11,onboard,0
131.5201743,60.98443678,598590.7443,1525224211048,2018-05-02 1:23:31,onboard,0
-26.90919968,-37.91134311,615550.0866,1525220932538,2018-05-02 0:28:52,onboard,0
-60.2505704,-25.22625827,580876.6024,1525188018586,2018-05-01 15:20:18,onboard,0
-67.3699349,-15.21656421,608030.5038,1525145175436,2018-05-01 3:26:15,onboard,0
-59.0269746,-19.65259629,590432.6109,1525101123673,2018-04-30 15:12:03,onboard,0
-69.01223209,-33.08806617,614895.8942,1525058480920,2018-04-30 3:21:20,onboard,0
-68.21023553,-29.89805637,612852.7312,1525058428862,2018-04-30 3:20:28,onboard,0
-43.30127098,-26.7848695,611894.4014,1525052579158,2018-04-30 1:42:59,onboard,0
-30.40157561,-28.4482694,594338.1418,1525008197353,2018-04-29 13:23:17,onboard,0
-68.0354561,-38.56389723,615173.8184,1524971585204,2018-04-29 3:13:05,onboard,0
-66.52817602,-33.03583185,601993.2132,1524971494754,2018-04-29 3:11:34,onboard,0
-64.64376403,-25.26824367,599499.6414,1524971368126,2018-04-29 3:09:28,onboard,0
-63.1707123,-18.61569809,610741.8893,1524971259985,2018-04-29 3:07:39,onboard,0
-63.1707123,-18.61569809,610741.8893,1524971259985,2018-04-29 3:07:39,onboard,0
-56.55972214,-7.887047626,587921.4167,1524927343506,2018-04-28 14:55:43,onboard,0
-53.65939764,-21.6863723,593878.6954,1524927120787,2018-04-28 14:52:00,onboard,0
-32.16048823,-9.043040587,587365.0286,1524921525952,2018-04-28 13:18:45,onboard,0
-64.04559875,-32.92124759,613830.9755,1524884507581,2018-04-28 3:01:47,onboard,0
-63.06947518,-29.0039219,612318.1074,1524884443663,2018-04-28 3:00:43,onboard,0
-40.74717386,-36.18547052,615019.4036,1524878761997,2018-04-28 1:26:01,onboard,0
-37.99783472,-25.1479234,611257.5869,1524878581903,2018-04-28 1:23:01,onboard,0
-36.49861311,-18.39827043,608893.1931,1524878472154,2018-04-28 1:21:12,onboard,0
-121.5213704,60.27225762,596765.0214,1524853062740,2018-04-27 18:17:42,onboard,0
-121.5213334,60.27219769,596765.1859,1524853062739,2018-04-27 18:17:42,onboard,0
-121.5213334,60.27219769,596765.1859,1524853062739,2018-04-27 18:17:42,onboard,0
-49.51411004,-29.0247002,583937.3406,1524840016834,2018-04-27 14:40:16,onboard,0
-83.99208191,82.00062158,602402.2731,1524830289647,2018-04-27 11:58:09,onboard,0
-73.126741,-81.40703111,612227.4427,1524786777562,2018-04-26 23:52:57,onboard,0
-73.126741,-81.40703111,612227.4427,1524786777562,2018-04-26 23:52:57,onboard,1
